name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
City University of New York: Medgar Evers College,New York,NY,Public,4 Year,,7153,7153,18423,18423,,,,,,
City University of New York: New York City College of Technology,New York,NY,Public,4 Year,,7120,7120,18390,18390,,,,,,
City University of New York: Queens College,New York,NY,Public,4 Year,12380,7338,19718,18608,30988,,,,,,
City University of New York: Queensborough Community College,New York,NY,Public,2 Year,,5209,5209,10009,10009,,,,,,
City University of New York: York College,New York,NY,Public,4 Year,,7157,7157,18427,18427,,,,,,
Clackamas Community College,Oregon,OR,Public,2 Year,,4944,4944,12414,12414,,,,,,
Claflin University,South Carolina,SC,Private,4 Year,9294,16622,25916,16622,25916,,,,,,
Claremont McKenna College,California,CA,Private,4 Year,16705,54405,71110,54405,71110,9,California,68500,125400,43,16
Clarendon College,Texas,TX,Public,2 Year,4176,5250,9426,7560,11736,,,,,,
Clarion University of Pennsylvania,Pennsylvania,PA,Public,4 Year,12670,11175,23845,15033,27703,,,,,,
Clark Atlanta University,Georgia,GA,Private,4 Year,9524,23436,32960,23436,32960,18,Georgia,46300,81100,54,15
Clark College,Washington,WA,Public,2 Year,,4287,4287,9718,9718,24,Washington,43500,78400,,9
Clark State Community College,Ohio,OH,Public,2 Year,,4480,4480,8420,8420,,,,,,
Clark University,Massachusetts,MA,Private,4 Year,9170,45730,54900,45730,54900,23,Massachusetts,52600,101400,47,14
Clarke University,Iowa,IA,Private,4 Year,9600,33350,42950,33350,42950,20,Iowa,44900,80200,52,6
Clarks Summit University,Pennsylvania,PA,Private,4 Year,6320,23890,30210,23890,30210,,,,,,
Clarkson College,Nebraska,NE,Private,4 Year,5398,16920,22318,16920,22318,4,Nebraska,50900,91500,74,0
Clarkson University,New York,NY,Private,4 Year,14908,49444,64352,49444,64352,8,New-York,66400,130100,58,58
